,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex
0,173392,2015,24.7809,1,6,4,5,1,4,2
1,173395,2015,38.2243,1,4,7,2,6,4,2
2,173397,2015,27.8465,2,8,1,4,2,3,2
3,173398,2015,26.9158,2,1,4,5,3,3,2
4,173403,2015,26.8268,1,4,2,2,1,2,2
5,173407,2015,25.1595,2,8,3,1,3,3,2
6,173416,2015,20.09,1,3,1,1,2,4,2
7,173425,2015,15.2249,2,5,1,2,1,1,2
8,173426,2015,26.4117,1,8,2,7,1,3,2
9,173427,2015,19.3125,1,8,7,4,1,4,2
10,173430,2015,18.519,2,7,2,5,1,1,2
11,173431,2015,24.2507,1,8,1,7,1,3,2
12,173432,2015,19.4704,2,3,2,7,2,3,2
13,173433,2015,20.4048,2,1,4,5,7,3,2
14,173434,2015,22.3391,1,3,7,7,2,3,2
15,173435,2015,34.4602,1,3,1,3,4,1,2
16,173436,2015,20.204,2,8,3,4,2,1,2
17,173437,2015,18.1422,1,6,2,5,3,3,2
18,173439,2015,34.2994,1,5,4,4,2,1,2
19,173440,2015,18.3287,2,4,4,4,3,3,2
20,173441,2015,23.3906,1,8,7,6,2,3,2
21,173442,2015,23.7373,1,2,2,1,4,3,2
22,173443,2015,29.12,2,5,5,5,2,1,2
23,173444,2015,20.4863,2,1,1,1,4,3,2
24,173446,2015,18.9615,2,4,3,2,1,1,2
25,173447,2015,31.3611,1,6,2,6,2,2,2
26,173448,2015,21.6609,1,7,2,4,3,2,2
27,173450,2015,29.8201,2,7,5,5,1,1,2
28,173451,2015,22.485,1,5,2,2,2,1,2
29,173452,2015,17.5779,2,8,5,6,2,2,2
30,173453,2015,24.3372,1,4,1,5,4,3,2
31,173455,2015,17.9355,2,4,1,3,1,3,2
32,173456,2015,21.7107,2,4,4,7,3,3,2
33,173457,2015,21.6602,1,3,7,7,5,1,2
34,173458,2015,19.3781,2,3,4,2,1,2,2
35,173459,2015,29.0381,1,7,7,4,3,3,2
36,173461,2015,19.6338,2,1,6,4,1,1,2
37,173462,2015,17.2419,1,6,5,4,2,3,2
38,173463,2015,20.9408,1,8,2,4,2,1,2
39,173464,2015,17.68,2,8,7,7,4,3,2
40,173465,2015,25.9513,1,5,1,5,3,3,2
41,173466,2015,21.793,2,5,1,7,1,1,2
42,173467,2015,25.6677,2,8,3,5,1,1,2
43,173468,2015,21.6609,1,5,3,2,2,3,2
44,173469,2015,18.9541,2,8,2,3,1,4,2
45,173471,2015,18.3673,1,8,2,5,5,3,2
46,173472,2015,18.3247,1,6,1,7,2,1,2
47,173473,2015,25.4256,2,7,4,5,2,1,2
48,173474,2015,21.1903,2,4,7,5,2,2,2
49,173476,2015,21.1446,2,8,5,2,7,4,2
50,173477,2015,18.4904,1,2,1,5,6,3,2
51,173478,2015,28.2222,2,3,5,7,2,3,2
52,173479,2015,16.2939,2,3,2,4,1,4,2
53,173480,2015,36.7314,2,4,3,2,1,1,2
54,173482,2015,20.7197,1,8,4,4,2,3,2
55,173483,2015,21.9753,1,1,1,1,5,3,2
56,173485,2015,20.9063,2,2,7,7,7,3,2
57,173486,2015,23.699,1,1,2,7,4,2,2
58,173487,2015,32.1765,2,5,5,6,2,1,2
59,173488,2015,24.5,2,8,1,7,1,1,2
60,173489,2015,19.5988,1,8,2,6,3,2,2
61,173490,2015,24.097,2,7,5,5,1,1,2
62,173491,2015,21.6978,2,4,2,4,1,4,2
63,173492,2015,28,2,5,7,4,1,2,2
64,173493,2015,24.1071,2,6,1,2,2,1,2
65,173496,2015,17.4814,1,8,7,7,3,4,2
66,173497,2015,24.8047,1,6,2,4,2,3,2
67,173498,2015,34.9899,2,1,1,7,2,1,2
68,173499,2015,20.0417,2,2,3,5,4,1,2
69,173500,2015,36.6538,2,6,5,1,2,3,2
70,173501,2015,22.9584,1,8,2,5,2,3,2
71,173502,2015,18.3395,2,6,3,3,3,3,2
72,173503,2015,24.7051,2,8,4,2,3,1,2
73,173504,2015,23.9,1,4,4,7,2,1,2
74,173505,2015,20.6121,2,7,1,3,1,1,2
75,173506,2015,25.7405,2,3,6,4,1,2,2
76,173507,2015,20.4863,2,5,5,3,2,1,2
77,173509,2015,21.3407,2,7,2,4,1,1,2
78,173510,2015,23.8581,2,8,6,2,1,1,2
79,173511,2015,20.09,1,8,4,7,2,3,2
80,173512,2015,23.6996,2,8,3,2,2,1,2
81,173513,2015,18.4807,2,8,4,5,1,1,2
82,173514,2015,23.4923,1,4,1,4,3,1,2
83,173515,2015,17.5816,2,8,5,5,1,1,2
84,173516,2015,19.8277,2,5,4,4,1,3,2
85,173517,2015,18.7945,2,8,4,6,1,3,2
86,173519,2015,42.3177,2,1,7,3,1,3,2
87,173520,2015,29.8201,2,6,5,5,1,3,2
88,173521,2015,22.3391,2,7,1,3,2,4,2
89,173522,2015,25.7405,2,4,1,7,2,4,2
90,173523,2015,21,2,6,7,7,5,1,2
91,173524,2015,31.4954,1,8,1,4,2,1,2
92,173527,2015,20.0893,1,1,6,2,7,1,2
93,173528,2015,22.9075,2,5,1,6,3,1,2
94,173529,2015,28.2526,1,2,2,6,6,1,2
95,173530,2015,34.1007,1,5,4,1,2,4,2
96,173531,2015,34.658,1,5,6,5,7,3,2
97,173532,2015,17.9989,2,8,4,5,1,3,2
98,173533,2015,17.4279,2,6,4,6,3,3,2
99,173534,2015,19.2489,1,8,3,5,2,1,2
100,173535,2015,24.924,1,1,1,1,1,3,2
101,173536,2015,34.0669,1,5,1,6,2,1,2
102,173537,2015,18.7716,1,8,6,5,2,1,2
103,173538,2015,21.8525,1,7,1,7,1,4,2
104,173539,2015,34.2994,2,6,4,2,1,1,2
105,173540,2015,20.3289,1,3,1,4,2,2,2
106,173541,2015,21.326,2,3,2,6,1,4,2
107,173542,2015,21.3754,1,3,7,7,2,3,2
108,173543,2015,18.6593,2,3,1,3,4,1,2
109,173544,2015,19.8931,2,4,4,5,1,1,2
110,173545,2015,21.8166,2,7,2,7,2,3,2
111,173547,2015,21.2169,1,8,3,1,2,1,2
112,173548,2015,17.7534,2,3,1,1,6,2,2
113,173549,2015,21,2,6,3,1,3,3,2
114,173550,2015,17.8934,2,5,2,4,1,1,2
115,173551,2015,26.357,2,6,6,6,1,1,2
116,173552,2015,18.8339,1,8,1,2,3,1,2
117,173553,2015,27.0895,2,8,5,5,1,3,2
118,173554,2015,19.1488,2,7,3,3,1,1,2
119,173555,2015,20.4922,1,4,2,1,1,4,2
120,173556,2015,21.9723,2,6,5,2,2,3,2
121,173559,2015,25.4256,2,5,3,4,1,1,2
122,173561,2015,19.9967,1,8,5,2,2,1,2
123,173562,2015,31.3386,2,2,1,7,2,3,2
124,173564,2015,29.4759,2,4,5,7,2,4,2
125,173565,2015,20.1437,2,8,6,3,1,1,2
126,173567,2015,22.9714,2,8,4,2,2,3,2
127,173568,2015,20.9982,1,1,1,3,5,4,2
128,173569,2015,23.0352,1,6,5,4,1,3,2
129,173570,2015,20.5786,1,8,5,5,4,3,2
130,173571,2015,18.8283,2,8,2,3,1,1,2
131,173572,2015,21.9753,2,7,2,1,1,1,2
132,173573,2015,21.9723,1,8,4,4,2,2,2
133,173574,2015,25.92,1,8,5,7,3,4,2
134,173575,2015,23.3242,1,6,2,3,2,1,2
135,173576,2015,23.6996,2,8,4,4,1,1,2
136,173577,2015,27.2812,1,4,2,1,5,3,2
137,173578,2015,20.9917,2,8,6,5,1,3,2
138,173579,2015,25.8962,2,4,2,5,2,2,2
139,173580,2015,36.1236,2,1,7,7,7,2,2
140,173581,2015,19.8996,2,6,5,5,3,1,2
141,173582,2015,19.5527,2,8,5,2,1,1,2
142,173583,2015,17.9989,1,6,4,2,2,3,2
143,173584,2015,28.5273,2,3,5,7,1,3,2
144,173585,2015,16.73,2,2,1,4,1,4,2
145,173586,2015,27.2994,1,8,3,2,3,1,2
146,173587,2015,18.7945,2,7,5,2,3,2,2
147,173588,2015,26.5781,2,8,7,4,3,1,2
148,173589,2015,17.0474,2,8,4,6,3,2,2
149,173591,2015,18.421,1,8,4,4,3,4,2
150,173592,2015,19.12,2,8,7,6,4,3,2
151,173593,2015,19.2555,2,6,1,3,1,4,2
152,173594,2015,34.7151,2,1,2,7,2,3,2
153,173596,2015,21.7618,2,5,3,6,3,3,2
154,173597,2015,23.7877,2,8,3,6,2,3,2
155,173598,2015,21.9753,2,5,2,5,1,1,2
156,173599,2015,19.4637,2,2,4,2,1,1,2
157,173600,2015,20.3169,1,8,6,6,2,4,2
158,173601,2015,22.4986,2,6,1,7,1,4,2
159,173602,2015,24.3372,2,8,1,6,1,4,2
160,173603,2015,16.0647,2,6,2,4,2,1,2
161,173604,2015,28.0088,2,6,7,1,2,1,2
162,173605,2015,24.5514,1,6,4,3,2,1,2
163,173606,2015,21.1788,2,6,2,3,1,4,2
164,173607,2015,26.3414,2,8,4,7,1,3,2
165,173608,2015,26.6731,1,8,2,2,3,3,2
166,173609,2015,20.0454,2,6,1,7,2,1,2
167,173610,2015,18.7813,1,5,7,5,2,1,2
168,173611,2015,25.0274,1,8,3,2,3,1,2
169,173612,2015,29.3492,2,8,1,7,2,1,2
170,173615,2015,27.7743,2,6,4,2,4,1,2
171,173616,2015,33.3223,2,1,4,6,2,1,2
172,173617,2015,21.6978,1,8,3,4,2,3,2
173,173618,2015,21.1713,2,7,3,5,1,4,2
174,173619,2015,19.8438,2,6,4,5,1,3,2
175,173620,2015,25.0537,2,5,3,6,2,4,2
176,173621,2015,20.9408,2,7,6,6,2,1,2
177,173622,2015,20.5353,1,2,5,7,7,2,2
178,173623,2015,17.9269,2,6,4,7,2,3,2
179,173624,2015,37.0286,1,8,6,7,5,3,2
180,173625,2015,20.0893,1,1,5,5,2,4,2
181,173626,2015,20.2442,2,6,3,5,2,3,2
182,173627,2015,19.5527,1,8,1,1,2,3,2
183,173628,2015,18.9936,1,3,7,7,3,3,2
184,173629,2015,20.2906,1,7,2,2,1,3,2
185,173630,2015,23.7033,1,5,2,1,4,1,2
186,173632,2015,29.0256,2,6,4,4,1,3,2
187,173633,2015,20.0576,1,8,1,7,4,3,2
188,173634,2015,20.09,1,5,4,3,3,3,2
189,173635,2015,17.2664,1,2,1,1,4,3,2
190,173636,2015,20.4048,2,5,5,5,2,1,2
191,173638,2015,17.6679,2,1,7,7,1,2,2
192,173639,2015,33.4727,2,5,4,3,3,1,2
193,173640,2015,24.6436,2,6,4,1,2,4,2
194,173641,2015,20.3171,1,8,3,6,3,1,2
195,173643,2015,19.2508,2,6,4,4,3,1,2
196,173644,2015,50.1417,2,1,1,7,2,4,2
197,173645,2015,15.9963,2,6,7,3,3,2,2
198,173646,2015,23.003,2,5,2,4,2,3,2
199,173647,2015,18.2866,2,5,3,2,2,1,2
200,173648,2015,18.9012,2,6,4,6,3,1,2
201,173649,2015,20.375,2,1,7,5,2,1,2
202,173650,2015,15.1077,1,1,4,3,1,3,2
203,173651,2015,18.8339,1,8,2,7,1,1,2
204,173653,2015,19.9927,1,8,2,1,2,4,2
205,173654,2015,21.6978,1,1,4,5,2,4,2
206,173655,2015,23.7847,2,6,1,5,2,2,2
207,173656,2015,20.4618,1,8,4,6,2,1,2
208,173657,2015,16.2531,2,8,2,1,3,1,2
209,173658,2015,22.6021,2,1,7,7,3,3,2
210,173660,2015,19.285,2,6,6,2,2,1,2
211,173661,2015,24.3811,2,5,6,2,1,1,2
212,173662,2015,41.087,1,7,2,7,6,1,2
213,173663,2015,18.0149,2,7,2,4,1,1,2
214,173664,2015,19.4625,2,5,5,4,1,1,2
215,173665,2015,25.7782,2,8,1,6,2,1,2
216,173666,2015,19.7576,2,6,4,5,1,1,2
217,173667,2015,26.3724,2,4,1,5,2,1,2
218,173668,2015,21.5349,1,6,5,6,7,3,2
219,173669,2015,25.059,2,8,3,7,3,1,2
220,173670,2015,28.3379,1,8,2,3,1,3,2
221,173671,2015,19.7033,2,8,3,3,3,1,2
222,173672,2015,22.082,2,3,1,5,2,1,2
223,173673,2015,17.1378,2,6,1,5,3,3,2
224,173674,2015,19.3284,1,4,2,3,3,1,2
225,173675,2015,21.4746,2,6,3,1,4,4,2
226,173677,2015,20.0417,2,8,3,6,2,1,2
227,173678,2015,30.6158,1,8,1,1,3,1,2
228,173679,2015,17.68,2,4,3,4,1,2,2
229,173680,2015,21.5349,2,6,4,2,2,2,2
230,173681,2015,17.68,1,1,7,7,6,2,2
231,173682,2015,19.5496,2,5,4,5,1,1,2
232,173683,2015,19.4637,2,1,1,6,7,2,2
233,173685,2015,18.2006,2,8,3,5,1,4,2
234,173687,2015,17.4279,1,8,3,4,1,1,2
235,173689,2015,18.3213,1,8,1,7,3,4,2
236,173690,2015,17.8394,1,6,3,3,2,3,2
237,173691,2015,23.5433,2,8,3,5,1,1,2
238,173692,2015,19.2555,2,8,1,7,1,4,2
239,173693,2015,22.7338,2,1,7,1,3,2,2
240,173694,2015,32.6247,2,5,3,4,1,3,2
241,173695,2015,16.4626,2,6,1,4,1,1,2
242,173696,2015,25.8711,2,6,2,5,2,3,2
243,173697,2015,20.8936,2,4,4,3,3,3,2
244,173698,2015,23.6584,2,4,1,3,2,3,2
245,173701,2015,23.3029,2,6,2,6,3,1,2
246,173702,2015,22.4298,2,6,1,2,1,4,2
247,173703,2015,30.7647,2,6,2,6,2,4,2
248,173704,2015,24.9114,2,8,3,4,3,3,2
249,173705,2015,16.0714,2,6,7,5,2,2,2
250,173706,2015,18.3213,2,8,2,3,2,1,2
251,173707,2015,24.0977,1,8,2,5,2,3,2
252,173708,2015,22.7578,1,8,7,7,2,2,2
253,173710,2015,21.825,2,8,4,1,3,3,2
254,173711,2015,19.1589,2,5,2,2,2,3,2
255,173712,2015,19.2591,2,8,3,5,1,1,2
256,173713,2015,28.92,1,5,7,3,4,1,2
257,173714,2015,20.4048,1,5,2,1,4,3,2
258,173715,2015,30.3117,1,3,3,4,5,3,2
259,173716,2015,22.7338,2,4,5,3,3,1,2
260,173718,2015,18.0484,1,4,7,4,3,3,2
261,173719,2015,20.375,1,8,1,5,2,3,2
262,173720,2015,17.5,1,5,3,7,2,1,2
263,173721,2015,20.7191,2,8,2,4,3,1,2
264,173722,2015,24.4296,1,7,2,1,3,1,2
265,173723,2015,18.6437,2,8,5,6,5,4,2
266,173724,2015,19.1235,1,8,3,1,1,2,2
267,173725,2015,16.8757,2,8,3,2,1,1,2
268,173726,2015,22.494,2,8,7,4,3,1,2
269,173727,2015,27.2812,1,7,1,4,1,3,2
270,173730,2015,27.4316,1,6,3,4,2,3,2
271,173731,2015,27.2812,2,4,1,4,3,4,2
272,173732,2015,15.5938,2,8,2,1,1,4,2
273,173735,2015,23.0988,2,8,2,4,2,1,2
274,173736,2015,29.7336,2,5,4,4,2,3,2
275,173737,2015,19.7033,2,5,5,5,1,1,2
276,173738,2015,40.7314,2,6,4,6,7,4,2
277,173740,2015,21.2067,2,8,5,5,1,1,2
278,173741,2015,20.2994,2,6,2,2,2,1,2
279,173742,2015,16.6592,1,8,5,1,3,1,2
280,173743,2015,19.0855,1,8,4,4,2,4,2
281,173744,2015,18.6082,1,8,1,2,1,4,2
282,173745,2015,18.6082,2,3,4,6,3,3,2
283,173750,2015,19.1488,2,6,4,4,2,4,2
284,173751,2015,18.0484,1,3,3,1,2,4,2
285,173753,2015,19.6319,1,8,1,2,3,2,2
286,173754,2015,25.6677,2,7,4,5,2,3,2
287,173755,2015,19.8252,2,8,2,2,2,1,2
288,173756,2015,25.0058,1,8,5,5,1,3,2
289,173757,2015,22.2171,2,5,4,7,2,2,2
290,173758,2015,26.8246,2,7,2,7,4,4,2
291,173759,2015,22.4986,2,8,3,4,2,1,2
292,173760,2015,23.0988,2,7,2,2,1,1,2
293,173762,2015,17.68,2,8,7,1,1,4,2
294,173763,2015,27.1998,2,5,4,5,1,4,2
295,173764,2015,18.2006,1,6,5,2,4,1,2
296,173766,2015,23.6996,1,6,5,6,2,3,2
297,173767,2015,32.5845,1,6,7,7,2,3,2
298,173768,2015,23.9,2,4,3,6,2,1,2
299,173769,2015,20.0893,2,8,4,7,2,3,2
300,173770,2015,22.333,1,8,6,7,4,1,2
301,173771,2015,16.1437,2,3,5,7,3,1,2
302,173772,2015,41.6786,2,4,4,1,2,3,2
303,173773,2015,21.9945,1,8,5,5,3,3,2
304,173774,2015,20.2487,2,8,7,4,2,3,2
305,173776,2015,25.5848,2,7,2,2,2,3,2
306,173780,2015,24.5014,1,4,6,1,1,4,2
307,173781,2015,21.8573,2,8,1,1,1,3,2
308,173782,2015,24.1071,1,8,2,1,4,3,2
309,173783,2015,23.3386,1,8,1,7,2,4,2
310,173784,2015,19.9967,2,8,1,6,2,1,2
311,173785,2015,16.0988,2,6,1,2,1,1,2
312,173786,2015,29.157,1,2,2,1,7,4,2
313,173787,2015,31.6547,1,6,1,4,2,3,2
314,173788,2015,19.1589,1,6,2,2,3,3,2
315,173790,2015,30.5455,2,6,4,5,2,4,2
316,173791,2015,19.4922,2,5,4,2,2,2,2
317,173792,2015,20.5701,1,4,2,4,1,1,2
318,173793,2015,28.2526,2,6,4,3,5,1,2
319,173795,2015,29.0381,2,6,5,7,1,3,2
320,173796,2015,15.9036,1,1,7,7,3,3,2
321,173797,2015,27.4894,2,8,5,7,7,1,2
322,173798,2015,20.0893,1,1,1,2,1,1,2
323,173799,2015,17.8394,1,7,3,3,2,3,2
324,173800,2015,25.6088,2,4,6,4,2,3,2
325,173801,2015,29.8201,1,3,5,3,3,3,2
326,173802,2015,17.9355,1,2,2,6,3,2,2
327,173803,2015,23.3906,1,6,3,6,3,4,2
