,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight,marijuana_use,cyber_bullied
0,173407,2015,25.1595,2,7,1.0,0.0,3,3,2,75.3,2,2
1,173416,2015,20.09,1,2,0.0,0.0,2,4,2,58.06,1,2
2,173425,2015,15.2249,2,4,0.0,0.5,1,1,2,44,2,2
3,173426,2015,26.4117,1,7,0.5,5.0,1,3,2,88.45,1,1
4,173427,2015,19.3125,1,7,5.0,2.0,1,4,2,49.44,2,2
5,173430,2015,18.519,2,6,0.5,3.0,1,1,2,53.52,2,2
6,173431,2015,24.2507,1,7,0.0,5.0,1,3,2,72.58,1,1
7,173432,2015,19.4704,2,2,0.5,5.0,2,3,2,61.69,2,2
8,173433,2015,20.4048,2,0,2.0,3.0,7,3,2,58.97,2,2
9,173434,2015,22.3391,1,2,5.0,5.0,2,3,2,63.05,2,2
10,173435,2015,34.4602,1,2,0.0,1.0,4,1,2,117.94,1,2
11,173436,2015,20.204,2,7,1.0,2.0,2,1,2,48.54,2,2
12,173437,2015,18.1422,1,5,0.5,3.0,3,3,2,40.82,1,2
13,173439,2015,34.2994,1,4,2.0,2.0,2,1,2,111.13,2,2
14,173440,2015,18.3287,2,3,2.0,2.0,3,3,2,49.9,1,2
15,173442,2015,23.7373,1,1,0.5,0.0,4,3,2,58.51,1,2
16,173443,2015,29.12,2,4,3.0,3.0,2,1,2,97.52,2,2
17,173444,2015,20.4863,2,0,0.0,0.0,4,3,2,54.43,2,2
18,173446,2015,18.9615,2,3,1.0,0.5,1,1,2,63.5,2,2
19,173447,2015,31.3611,1,5,0.5,4.0,2,2,2,101.61,1,2
20,173448,2015,21.6609,1,6,0.5,2.0,3,2,2,62.6,1,2
21,173450,2015,29.8201,2,6,3.0,3.0,1,1,2,86.18,2,2
22,173451,2015,22.485,1,4,0.5,0.5,2,1,2,75.3,2,2
23,173452,2015,17.5779,2,7,3.0,4.0,2,2,2,50.8,2,2
24,173453,2015,24.3372,1,3,0.0,3.0,4,3,2,77.11,2,2
25,173455,2015,17.9355,2,3,0.0,1.0,1,3,2,43.09,2,2
26,173456,2015,21.7107,2,3,2.0,5.0,3,3,2,52.16,1,2
27,173457,2015,21.6602,1,2,5.0,5.0,5,1,2,58.97,1,2
28,173458,2015,19.3781,2,2,2.0,0.5,1,2,2,68.49,2,2
29,173459,2015,29.0381,1,6,5.0,2.0,3,3,2,83.92,1,2
30,173461,2015,19.6338,2,0,4.0,2.0,1,1,2,41.28,2,2
31,173462,2015,17.2419,1,5,3.0,2.0,2,3,2,45.81,2,2
