,index,year,bmi,Vape_Use,Physical_Activity,Television,Electronic_Devices,Grades,race,sex,weight
0,173407,2015,25.1595,2,8,3,1,3,3,2,75.3
1,173416,2015,20.09,1,3,1,1,2,4,2,58.06
2,173425,2015,15.2249,2,5,1,2,1,1,2,44
3,173426,2015,26.4117,1,8,2,7,1,3,2,88.45
4,173427,2015,19.3125,1,8,7,4,1,4,2,49.44
5,173430,2015,18.519,2,7,2,5,1,1,2,53.52
6,173431,2015,24.2507,1,8,1,7,1,3,2,72.58
7,173432,2015,19.4704,2,3,2,7,2,3,2,61.69
8,173433,2015,20.4048,2,1,4,5,7,3,2,58.97
9,173434,2015,22.3391,1,3,7,7,2,3,2,63.05
10,173435,2015,34.4602,1,3,1,3,4,1,2,117.94
11,173436,2015,20.204,2,8,3,4,2,1,2,48.54
12,173437,2015,18.1422,1,6,2,5,3,3,2,40.82
13,173439,2015,34.2994,1,5,4,4,2,1,2,111.13
14,173440,2015,18.3287,2,4,4,4,3,3,2,49.9
15,173441,2015,23.3906,1,8,7,6,2,3,2,59.88
16,173442,2015,23.7373,1,2,2,1,4,3,2,58.51
17,173443,2015,29.12,2,5,5,5,2,1,2,97.52
18,173444,2015,20.4863,2,1,1,1,4,3,2,54.43
19,173446,2015,18.9615,2,4,3,2,1,1,2,63.5
20,173447,2015,31.3611,1,6,2,6,2,2,2,101.61
21,173448,2015,21.6609,1,7,2,4,3,2,2,62.6
22,173450,2015,29.8201,2,7,5,5,1,1,2,86.18
23,173451,2015,22.485,1,5,2,2,2,1,2,75.3
24,173452,2015,17.5779,2,8,5,6,2,2,2,50.8
25,173453,2015,24.3372,1,4,1,5,4,3,2,77.11
26,173455,2015,17.9355,2,4,1,3,1,3,2,43.09
27,173456,2015,21.7107,2,4,4,7,3,3,2,52.16
28,173457,2015,21.6602,1,3,7,7,5,1,2,58.97
29,173458,2015,19.3781,2,3,4,2,1,2,2,68.49
30,173459,2015,29.0381,1,7,7,4,3,3,2,83.92
